N6705B Exported scope view data

"Scope.offset: 217"
"Scope.points: 8192"
"Scope.tint: 0.00292864"


Voltage 1,Current 1
3.30009,0.0495053
3.30009,0.0497604
3.30009,0.0497357
3.2999,0.0496446
3.30105,0.0495686
3.29971,0.0495161
3.29762,0.0498322
3.30048,0.0496179
3.30009,0.0497261
3.30086,0.0496586
3.30029,0.0496811
3.2999,0.0497197
3.2999,0.0497647
3.30029,0.0496789
3.29971,0.0497111
3.30029,0.0495675
3.30067,0.0497239
3.30067,0.0497293
3.30067,0.0496468
3.30048,0.0496682
3.30086,0.04977
3.30048,0.0497529
3.30029,0.0497143
3.30086,0.0496114
3.2999,0.0497271
3.30086,0.0498032
3.29952,0.0496489
3.30276,0.0492139
3.2999,0.0495214
3.2999,0.0497411
3.30067,0.0496307
3.29952,0.0496575
3.29952,0.0495814
3.29971,0.0496157
3.30048,0.0495975
3.30048,0.0497604
3.2999,0.0495793
3.29952,0.0496489
3.30086,0.0497036
3.30048,0.0496329
3.29971,0.0496489
3.29971,0.0497722
3.29971,0.0496564
3.29971,0.0497443
3.29933,0.0496618
3.30124,0.0499007
3.29971,0.0496736
3.2999,0.0497743
3.30086,0.0497775
3.30029,0.0496736
3.30009,0.0497497
3.29895,0.0496714
3.29971,0.0495214
3.30029,0.0497464
3.30067,0.0497368
3.30067,0.0497786
3.2999,0.0497497
3.2999,0.0497518
3.30086,0.0495846
3.29971,0.0495514
3.2999,0.0497754
3.30086,0.0497722
3.30048,0.0497732
3.30009,0.0497625
3.30029,0.0496704
3.30009,0.0496704
3.29933,0.0497475
3.29914,0.0497057
3.30048,0.0494625
3.29952,0.0495439
3.29952,0.04983
3.30086,0.0406426
3.30009,0.0496489
3.29971,0.0498054
3.30009,0.0497046
3.29933,0.0497154
3.30048,0.0496618
3.30067,0.0496768
3.30048,0.0497432
3.30009,0.0497893
3.30067,0.0497282
3.29971,0.0495996
3.30067,0.0498139
3.29933,0.0497261
3.29952,0.0496693
3.30029,0.0497346
3.29952,0.0497507
3.29895,0.0497647
3.30048,0.0497197
3.29952,0.04974
3.29933,0.0498847
3.30067,0.0497722
3.30029,0.0498054
3.2999,0.0497197
3.30009,0.0497132
3.30048,0.0497432
3.29933,0.0498225
3.29971,0.0496875
3.30009,0.04983
3.29952,0.0496371
3.30029,0.0497229
3.2999,0.0498054
3.30009,0.0496918
3.30048,0.0497636
3.30048,0.0496843
3.30029,0.04977
3.2999,0.049785
3.30009,0.0496746
3.29914,0.0496843
3.2999,0.0496832
3.29971,0.0497121
3.29952,0.0497764
3.30086,0.0497668
3.29933,0.0498815
3.29971,0.0499286
3.2999,0.0443351
3.29971,0.0498407
3.29971,0.0498375
3.30067,0.0497711
3.30086,0.0497839
3.30067,0.0497743
3.2999,0.0498354
3.30124,0.0499125
3.2999,0.0497882
3.30048,0.0497775
3.30009,0.0499361
3.29952,0.0498439
3.30048,0.04974
3.30009,0.0499232
3.29971,0.0497572
3.30048,0.0497679
3.30048,0.0497657
3.29952,0.0496993
3.30009,0.0497989
3.30029,0.0497925
3.30009,0.0496586
3.30048,0.0497786
3.29971,0.0496736
3.30048,0.0497464
3.29971,0.0497293
3.30009,0.0497989
3.30029,0.0496939
3.30029,0.0498482
3.2999,0.04965
3.30048,0.0497711
3.30048,0.0498707
3.2999,0.0496918
3.29971,0.0497304
3.29933,0.0498557
3.30009,0.0497422
3.30086,0.0497454
3.30029,0.0497775
3.29933,0.0498322
3.30009,0.0498654
3.30029,0.0497936
3.30029,0.0499072
3.30009,0.0499093
3.30029,0.0498836
3.29971,0.0498268
3.29781,0.0488603
3.30124,0.04989
3.29914,0.0498225
3.30067,0.0498279
3.30009,0.04977
3.30086,0.0498011
3.30029,0.0497186
3.29971,0.049845
3.30029,0.0496071
3.2999,0.0498397
3.29971,0.0498214
3.29914,0.0497925
3.2999,0.0497368
3.30086,0.0498547
3.29933,0.0498611
3.29876,0.0497989
3.30009,0.0498622
3.30029,0.0498429
3.30009,0.0497807
3.30009,0.0497657
3.29971,0.0499532
3.30086,0.0497443
3.29952,0.0498804
3.29952,0.0498825
3.29952,0.0497818
3.29952,0.0498097
3.2999,0.0497947
3.30048,0.0499018
3.29895,0.0499125
3.30067,0.0499147
3.2999,0.0497968
3.30048,0.0497872
3.29971,0.0499082
3.30029,0.0499372
3.29971,0.04986
3.30009,0.0498965
3.30105,0.0497486
3.29971,0.04992
3.2999,0.0497893
3.30067,0.0496704
3.2999,0.049919
3.2999,0.0498064
3.29876,0.0497722
3.30105,0.0497882
3.2999,0.0502661
3.2999,0.0498118
