N6705B Exported scope view data

"Scope.offset: 217"
"Scope.points: 8192"
"Scope.tint: 0.00292864"


Voltage 1,Current 1
3.30048,0.000828303
3.30029,0.000842232
3.30029,0.000865806
3.30105,0.000826158
3.30009,0.000843305
3.30029,0.000850804
3.30009,0.000836875
3.29952,0.000818659
3.30009,0.000835802
3.2999,0.000866879
3.2999,0.000827231
3.30048,0.000865806
3.30086,0.000847589
3.29971,0.000857234
3.30086,0.000857234
3.30067,0.000831515
3.30029,0.000875451
3.29952,0.000816517
3.29952,0.000822943
3.2999,0.000854019
3.30029,0.000832587
3.29952,0.000831515
3.30009,0.000849731
3.30124,0.000869021
3.30009,0.00083366
3.2999,0.00083366
3.30067,0.000839017
3.30009,0.000852946
3.30009,0.00083473
3.29952,0.000841159
3.30029,0.000892594
3.30029,0.000845447
3.30067,0.000801515
3.30048,0.000845447
3.30086,0.000843305
3.30048,0.00083473
3.30105,0.000851877
3.29952,0.000859376
3.29971,0.000835802
3.30009,0.00083473
3.30143,0.000848662
3.30048,0.000839017
3.30029,0.000837944
3.30086,0.000846516
3.30067,0.000891522
3.2999,0.000801515
3.30029,0.000818659
3.30009,0.000845447
3.30009,0.00084009
3.30105,0.000832587
3.30009,0.000830445
3.29971,0.000867948
3.29971,0.000829373
3.29933,0.000836875
3.30067,0.000837944
3.30029,0.000854019
3.29952,0.000844374
3.2999,0.000828303
3.30029,0.000877593
3.30048,0.000807941
3.30086,0.000832587
3.2999,0.000829373
3.30048,0.000860449
3.30029,0.000827231
3.30009,0.000841159
3.29914,0.000892594
3.30009,0.000810087
3.2999,0.000830445
3.30029,0.00084009
3.30029,0.000848662
3.2999,0.000825088
3.30009,0.000835802
3.2999,0.000878666
3.30009,0.000842232
3.2999,0.000809014
3.30067,0.000845447
3.30029,0.000858307
3.30067,0.000829373
3.30124,0.000828303
3.30048,0.000860449
3.30086,0.000847589
3.30029,0.000818659
3.29952,0.00083473
3.30086,0.000844374
3.29971,0.000839017
3.30086,0.000835802
3.30086,0.000856161
3.30048,0.00083473
3.30048,0.000821874
3.29933,0.000816517
3.30009,0.000871163
3.30067,0.000822943
3.2999,0.000819728
3.29971,0.000863664
3.30029,0.000831515
3.30067,0.000816517
3.30029,0.000832587
3.30009,0.000870094
3.29971,0.000832587
3.30029,0.000819728
3.30029,0.000858307
3.30029,0.000846516
3.29971,0.000812229
3.29914,0.000830445
3.30048,0.000870094
3.29933,0.000831515
3.30067,0.000821874
3.2999,0.000870094
3.30067,0.000819728
3.30029,0.000837944
3.30067,0.000822943
3.30067,0.000878666
3.30105,0.000845447
3.30009,0.000825088
3.30029,0.000860449
3.30067,0.000837944
3.30029,0.000835802
3.29971,0.000837944
3.29971,0.000866879
3.30009,0.000844374
3.29971,0.000832587
3.30009,0.000863664
3.2999,0.00083473
3.30105,0.000816517
3.29971,0.000837944
3.30009,0.000869021
3.29971,0.000850804
3.2999,0.000829373
3.30048,0.000864733
3.29914,0.00084009
3.30067,0.000819728
3.30048,0.00083473
3.29933,0.000871163
3.30029,0.00084009
3.29971,0.00083366
3.30009,0.000855092
3.29971,0.000847589
3.30029,0.00084009
3.29971,0.000814371
3.30086,0.00107904
3.2999,0.00103297
3.30029,0.00106297
3.30067,0.00106833
3.30009,0.00105011
3.30009,0.00102546
3.30048,0.00104475
