N6705B Exported scope view data

"Scope.offset: -401"
"Scope.points: 8192"
"Scope.tint: 0.00292864"


Voltage 1,Current 1
3.30029,0.000620421
3.30009,0.000608634
3.29971,0.000641853
3.29952,0.000633281
3.30048,0.000634354
3.29971,0.000624709
3.29952,0.000623636
3.2999,0.000660069
3.2999,0.000641853
3.29971,0.000863664
3.30029,0.000846516
3.2999,0.000847589
3.30009,0.000841159
3.30009,0.000854019
3.2999,0.000862591
3.2999,0.000861518
3.29971,0.000844374
3.30009,0.000858307
3.30067,0.000856161
3.29971,0.00083473
3.30067,0.000855092
3.30009,0.000847589
3.29952,0.000839017
3.30029,0.000830445
3.30067,0.000848662
3.29933,0.00084009
3.30029,0.000835802
3.30048,0.000844374
3.30048,0.000848662
3.30086,0.000854019
3.30086,0.000849731
3.30143,0.00083473
3.2999,0.000848662
3.30029,0.000817586
3.29971,0.000824016
3.30029,0.000843305
3.30067,0.000830445
3.30048,0.00083473
3.30029,0.000831515
3.30029,0.000828303
3.30086,0.000832587
3.30009,0.000820801
3.29971,0.000821874
3.29971,0.000837944
3.30048,0.000839017
3.30086,0.000849731
3.30009,0.000844374
3.30048,0.000817586
3.29914,0.000841159
3.2999,0.000822943
3.29952,0.00083473
3.2999,0.000835802
3.30124,0.00083473
3.30086,0.000812229
3.30067,0.00084009
3.30048,0.000806872
3.2999,0.000831515
3.2999,0.000830445
3.29971,0.000827231
3.2999,0.000839017
3.30086,0.000837944
3.30009,0.000824016
3.2999,0.000837944
3.30029,0.00084009
3.29933,0.000845447
3.29952,0.000837944
3.30067,0.000849731
3.2999,0.000844374
3.30009,0.000856161
3.30105,0.000865806
3.30048,0.000865806
3.30029,0.000856161
3.30009,0.000837944
3.2999,0.000848662
3.30009,0.000860449
3.30067,0.000852946
3.30086,0.000866879
3.30048,0.000860449
3.29971,0.000863664
3.30048,0.000874378
3.30048,0.000869021
3.30048,0.000860449
3.30048,0.00087652
3.30048,0.000855092
3.30048,0.000872236
3.29971,0.000885095
3.30029,0.000887237
3.2999,0.000906523
3.30086,0.000904381
3.29971,0.000884023
3.30105,0.00088295
3.30029,0.000927955
3.29952,0.000902239
3.29952,0.000877593
3.30048,0.000905454
3.30048,0.000909738
3.29933,0.000907596
3.30048,0.000911884
3.29933,0.000926882
3.30009,0.000921525
3.30009,0.00093117
3.29914,0.000921525
